type,run,attempts,successes,
combination0111,935,0,0,
combination0111,936,0,0,
combination0111,937,0,0,
combination0111,938,0,0,
combination0111,939,0,0,
combination0111,940,0,0,
combination0111,941,0,0,
combination0111,942,0,0,
combination0111,943,0,0,
combination0111,944,0,0,
combination0111,945,0,0,
combination0111,946,0,0,
combination0111,947,0,0,
combination0111,948,0,0,
combination0111,949,0,0,
combination0111,950,0,0,
combination0111,951,0,0,
combination0111,952,0,0,
combination0111,953,0,0,
combination0111,954,0,0,
combination0111,955,0,0,
combination0111,956,1,1,
combination0111,957,0,0,
combination0111,958,0,0,
combination0111,959,0,0,
combination0111,960,0,0,
combination0111,961,0,0,
combination0111,962,0,0,
combination0111,963,0,0,
combination0111,964,0,0,
combination0111,965,0,0,
combination0111,966,0,0,
combination0111,967,0,0,
combination0111,968,0,0,
combination0111,969,0,0,
combination0111,970,1,1,
combination0111,971,0,0,
combination0111,972,0,0,
combination0111,973,0,0,
combination0111,974,0,0,
combination0111,975,0,0,
combination0111,976,0,0,
combination0111,977,0,0,
combination0111,978,0,0,
combination0111,979,0,0,
combination0111,980,1,1,
combination0111,981,0,0,
combination0111,982,0,0,
combination0111,983,0,0,
combination0111,984,0,0,
combination0111,985,1,0,
combination0111,986,0,0,
combination0111,987,0,0,
combination0111,988,0,0,
combination0111,989,0,0,
combination0111,990,0,0,
combination0111,991,0,0,
combination0111,992,0,0,
combination0111,993,0,0,
combination0111,994,0,0,
combination0111,995,0,0,
combination0111,996,0,0,
combination0111,997,1,1,
combination0111,998,0,0,
combination0111,999,0,0,
combination0111,0,0,0,
combination0111,1,0,0,
combination0111,2,0,0,
combination0111,3,12,3,
combination0111,4,7,3,
combination0111,5,8,0,
combination0111,6,11,1,
combination0111,7,8,0,
combination0111,8,5,0,
combination0111,9,4,0,
combination0111,10,4,0,
combination0111,11,6,0,
combination0111,12,4,1,
combination0111,13,5,0,
combination0111,14,6,1,
combination0111,15,3,0,
combination0111,16,4,0,
combination0111,17,7,0,
combination0111,18,10,0,
combination0111,19,10,0,
combination0111,20,11,0,
combination0111,21,12,1,
combination0111,22,11,0,
combination0111,23,7,0,
combination0111,24,7,0,
combination0111,25,2,0,
combination0111,26,2,0,
combination0111,27,1,0,
combination0111,28,1,0,
combination0111,29,3,0,
combination0111,30,3,0,
combination0111,31,3,0,
combination0111,32,3,0,
combination0111,33,3,0,
combination0111,34,3,0,
combination0111,35,2,0,
combination0111,36,1,0,
combination0111,0,0,0,
combination0111,1,0,0,
combination0111,2,0,0,
combination0111,3,2,1,
combination0111,4,0,0,
combination0111,5,0,0,
combination0111,6,1,1,
combination0111,7,1,1,
combination0111,8,0,0,
combination0111,9,0,0,
combination0111,10,0,0,
combination0111,11,0,0,
combination0111,12,0,0,
combination0111,13,0,0,
combination0111,14,1,0,
combination0111,15,0,0,
combination0111,16,0,0,
combination0111,17,0,0,
combination0111,18,0,0,
combination0111,19,0,0,
combination0111,20,0,0,
combination0111,21,0,0,
combination0111,22,0,0,
combination0111,23,0,0,
combination0111,24,0,0,
combination0111,25,0,0,
combination0111,26,0,0,
combination0111,27,0,0,
combination0111,28,0,0,
combination0111,29,0,0,
combination0111,30,0,0,
combination0111,31,0,0,
combination0111,32,0,0,
combination0111,33,0,0,
combination0111,34,0,0,
combination0111,35,0,0,
combination0111,36,0,0,
combination0111,37,0,0,
combination0111,38,0,0,
combination0111,39,0,0,
combination0111,40,0,0,
combination0111,41,0,0,
combination0111,42,0,0,
combination0111,43,2,1,
combination0111,44,1,1,
combination0111,45,0,0,
combination0111,46,1,1,
combination0111,47,1,1,
combination0111,48,0,0,
combination0111,49,0,0,
combination0111,50,0,0,
combination0111,51,0,0,
combination0111,52,2,1,
combination0111,53,4,3,
combination0111,54,3,1,
combination0111,55,2,0,
combination0111,56,2,0,
combination0111,57,2,2,
combination0111,58,0,0,
combination0111,59,0,0,
combination0111,60,0,0,
combination0111,61,0,0,
combination0111,62,0,0,
combination0111,63,0,0,
combination0111,64,0,0,
combination0111,65,0,0,
combination0111,66,0,0,
combination0111,67,0,0,
combination0111,68,0,0,
combination0111,69,0,0,
combination0111,70,0,0,
combination0111,71,0,0,
combination0111,72,0,0,
combination0111,73,0,0,
combination0111,74,0,0,
combination0111,75,2,1,
combination0111,76,2,2,
combination0111,77,0,0,
combination0111,78,1,1,
combination0111,79,1,0,
combination0111,80,1,0,
combination0111,81,1,1,
combination0111,82,0,0,
combination0111,83,0,0,
combination0111,84,0,0,
combination0111,85,1,1,
combination0111,86,0,0,
combination0111,87,1,0,
combination0111,88,1,0,
combination0111,89,1,0,
combination0111,90,1,0,
combination0111,91,1,0,
combination0111,92,1,1,
combination0111,93,0,0,
combination0111,94,0,0,
combination0111,95,0,0,
combination0111,96,0,0,
combination0111,97,0,0,
combination0111,98,2,1,
combination0111,99,1,0,
combination0111,100,1,1,
combination0111,101,1,1,
combination0111,102,3,3,
combination0111,103,2,1,
combination0111,104,3,3,
combination0111,105,0,0,
combination0111,106,0,0,
combination0111,107,0,0,
combination0111,108,1,0,
combination0111,109,1,0,
combination0111,110,0,0,
combination0111,111,0,0,
combination0111,112,0,0,
combination0111,113,0,0,
combination0111,114,0,0,
combination0111,115,0,0,
combination0111,116,0,0,
combination0111,117,0,0,
combination0111,118,1,0,
combination0111,119,2,1,
combination0111,120,1,0,
combination0111,121,1,0,
combination0111,122,2,1,
combination0111,123,1,0,
